year,province,district,old_district,new_district,cabinet_origin,cabinet_represents,gen_altered
2011,afyonkarahisar,dazkiri,0,0,1,1,0
2012,afyonkarahisar,dazkiri,0,0,1,1,0
2013,afyonkarahisar,dazkiri,0,0,1,1,0
2014,afyonkarahisar,dazkiri,0,0,1,1,0
2015,afyonkarahisar,dazkiri,0,0,1,1,0
2016,afyonkarahisar,dazkiri,0,0,1,1,0
2017,afyonkarahisar,dazkiri,0,0,1,1,0
2018,afyonkarahisar,dazkiri,0,0,1,1,0
2019,afyonkarahisar,dazkiri,0,0,0,0,0
2020,afyonkarahisar,dazkiri,0,0,0,0,0
2002,afyonkarahisar,dinar,0,0,0,0,0
2003,afyonkarahisar,dinar,0,0,0,0,0
2004,afyonkarahisar,dinar,0,0,0,0,0
2005,afyonkarahisar,dinar,0,0,0,0,0
2006,afyonkarahisar,dinar,0,0,0,0,0
2007,afyonkarahisar,dinar,0,0,1,1,0
2008,afyonkarahisar,dinar,0,0,1,1,0
2009,afyonkarahisar,dinar,0,0,1,1,0
2010,afyonkarahisar,dinar,0,0,1,1,0
2011,afyonkarahisar,dinar,0,0,1,1,0
2012,afyonkarahisar,dinar,0,0,1,1,0
2013,afyonkarahisar,dinar,0,0,1,1,0
2014,afyonkarahisar,dinar,0,0,1,1,0
2015,afyonkarahisar,dinar,0,0,1,1,0
2016,afyonkarahisar,dinar,0,0,1,1,0
2017,afyonkarahisar,dinar,0,0,1,1,0
2018,afyonkarahisar,dinar,0,0,1,1,0
2019,afyonkarahisar,dinar,0,0,0,0,0
2020,afyonkarahisar,dinar,0,0,0,0,0
2002,afyonkarahisar,emirdag,0,0,0,0,0
2003,afyonkarahisar,emirdag,0,0,0,0,0
2004,afyonkarahisar,emirdag,0,0,0,0,0
2005,afyonkarahisar,emirdag,0,0,0,0,0
2006,afyonkarahisar,emirdag,0,0,0,0,0
2007,afyonkarahisar,emirdag,0,0,1,1,0
2008,afyonkarahisar,emirdag,0,0,1,1,0
2009,afyonkarahisar,emirdag,0,0,1,1,0
2010,afyonkarahisar,emirdag,0,0,1,1,0
2011,afyonkarahisar,emirdag,0,0,1,1,0
2012,afyonkarahisar,emirdag,0,0,1,1,0
2013,afyonkarahisar,emirdag,0,0,1,1,0
2014,afyonkarahisar,emirdag,0,0,1,1,0
2015,afyonkarahisar,emirdag,0,0,1,1,0
2016,afyonkarahisar,emirdag,0,0,1,1,0
2017,afyonkarahisar,emirdag,0,0,1,1,0
2018,afyonkarahisar,emirdag,0,0,1,1,0
