province,district,registered_voters,valid_votes,akp,chp,mhp,year,province_district
gaziantep,sahinbey,282882,181934,102707,59500,3920,2004,gaziantep_sahinbey
gaziantep,sehitkamil,196530,128484,57810,27976,2035,2004,gaziantep_sehitkamil
gaziantep,yavuzeli,2574,2216,1142,NA,NA,2004,gaziantep_yavuzeli
giresun,alucra,2827,1989,402,8,815,2004,giresun_alucra
giresun,bulancak,21040,14834,5510,3667,170,2004,giresun_bulancak
giresun,camoluk,2641,1809,930,NA,NA,2004,giresun_camoluk
giresun,canakci,2271,1566,624,NA,861,2004,giresun_canakci
giresun,dereli,5070,4142,1611,2004,52,2004,giresun_dereli
giresun,dogankent,3651,2451,1098,178,690,2004,giresun_dogankent
giresun,espiye,11496,7373,4028,579,621,2004,giresun_espiye
giresun,eynesil,5887,4122,1277,1065,NA,2004,giresun_eynesil
giresun,gorele,10917,7345,3962,1761,167,2004,giresun_gorele
giresun,guce,2305,1924,847,580,NA,2004,giresun_guce
giresun,kesap,6369,4936,1613,1075,676,2004,giresun_kesap
giresun,merkez,52278,33769,12862,11801,1155,2004,giresun_merkez
giresun,piraziz,6727,5027,1071,1746,NA,2004,giresun_piraziz
giresun,sebinkarahisar,6838,4605,1333,769,2412,2004,giresun_sebinkarahisar
giresun,tirebolu,9166,6634,1784,1874,1550,2004,giresun_tirebolu
giresun,yaglidere,3371,2442,914,NA,1414,2004,giresun_yaglidere
hakkari,cukurca,2695,1982,750,NA,6,2004,hakkari_cukurca
hakkari,merkez,28579,17967,5622,200,250,2004,hakkari_merkez
hakkari,semdinli,4255,3462,777,NA,NA,2004,hakkari_semdinli
hakkari,yuksekova,24166,15948,4487,695,123,2004,hakkari_yuksekova
hatay,altinozu,4210,2897,2074,742,NA,2004,hatay_altinozu
hatay,belen,15094,9973,4814,394,4472,2004,hatay_belen
hatay,dortyol,35565,24007,7074,4563,6991,2004,hatay_dortyol
hatay,erzin,18933,14112,3621,4196,2172,2004,hatay_erzin
hatay,hassa,5687,4532,2436,221,202,2004,hatay_hassa
hatay,iskenderun,116726,72590,16085,22723,572,2004,hatay_iskenderun
hatay,kirikhan,34023,23768,8996,1330,630,2004,hatay_kirikhan
hatay,kumlu,3446,2668,1258,496,NA,2004,hatay_kumlu
hatay,merkez,94217,66081,32662,24159,3114,2004,hatay_merkez
hatay,reyhanli,26587,18540,6933,1513,6675,2004,hatay_reyhanli
hatay,samandag,20346,15539,2676,7185,18,2004,hatay_samandag
hatay,yayladagi,4817,3285,2050,567,277,2004,hatay_yayladagi
igdir,aralik,4035,2976,1540,NA,NA,2004,igdir_aralik
igdir,karakoyunlu,2162,1473,661,NA,498,2004,igdir_karakoyunlu
