pdym,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon
gumushane_merkez_2006_4,1758429.5648220011,1547964.1131815044,1758429.5648220011,1547964.1131815044,NA,1,0,0,0,0,0,0,1758429.5648220011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547964.1131815044,0,0,0,0,0,0,0,0,0,0,0
gumushane_merkez_2007_5,2656013.9744994026,2781109.445277361,2656013.9744994026,2781109.445277361,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2656013.9744994026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2781109.445277361,0,0,0
gumushane_merkez_2008_2,1545570.105526523,1919799.498746867,1545570.105526523,1919799.498746867,NA,1,0,0,0,0,0,0,1545570.105526523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919799.498746867,0,0,0,0,0,0,0,0,0,0,0
gumushane_merkez_2010_5,4734707.17176259,5498688.64229765,4734707.17176259,5498688.64229765,198,1,4734707.17176259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5498688.64229765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gumushane_merkez_2011_3,3398224.694274068,3977070.0636942675,3398224.694274068,3977070.0636942675,116,1,0,3398224.694274068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3977070.0636942675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gumushane_merkez_2012_5,16431551.372853402,18838709.677419353,16431551.372853402,18838709.677419353,NA,1,0,0,0,0,0,0,16431551.372853402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18838709.677419353,0,0,0,0,0,0,0,0,0,0,0
gumushane_merkez_2016_11,28280366.779395834,24923733.984136667,28280366.779395834,24923733.984136667,528,1,28280366.779395834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24923733.984136667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gumushane_siran_2012_4,2471621.2282914524,2833704.1156840934,2471621.2282914524,2833704.1156840934,NA,1,0,0,0,0,0,0,2471621.2282914524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2833704.1156840934,0,0,0,0,0,0,0,0,0,0,0
gumushane_torul_2009_11,1344286.5566037737,1539439.5678595542,1344286.5566037737,1539439.5678595542,NA,1,0,0,0,0,0,0,1344286.5566037737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539439.5678595542,0,0,0,0,0,0,0,0,0,0,0
gumushane_torul_2010_7,1031642.6795650189,1211920.5298013245,1031642.6795650189,1211920.5298013245,NA,1,0,0,0,0,0,0,1031642.6795650189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211920.5298013245,0,0,0,0,0,0,0,0,0,0,0
